,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
2086,11/24/1966,16:30,"near bratislava, czechoslovakia",transportno aviatsionno bulgaro-soviet obshchestvo,101,bratislava - praha,ilyushin il-18b,lz-ben,184007101/356,82.0,82,0.0,"following takeoff, the aircraft did not follow assigned route and crashed into wooded hillside. insufficient evaluation of the weather conditions and relief of the terrain by the crew."
2092,12/24/1966,09:56,"cascubel river, colombia",avianca,729,bogota - cali,douglas c-47a-80-dl,hk-161,19630,29.0,29,0.0,"crashed into the southern slopes of tajumbina peak at 11,600 ft. while approaching cali. lack of cockpit discipline. consuming alcohol shortly before the flight. not following the recommended route. incorrectly reported positions. continuing vfr in ifr conditions. flying below minimum safe altitude for a vfr approach."
2105,02/16/1967,14:21,"menado, indonesia",garuda indonesia airlines,708,jakarta - menado via surabaya,lockheed l-188c electra,pk-glb,2021,63.0,22,0.0,"crashed on approach, landing short of the runway, collapsing the landing gear. awkward landing technique resulting in excessive rate of sink. contributing factors include narrow runway, uneven runway necessitating landing as close to the threshold as possible and marginal weather conditions."
2107,02/28/1967,04:20,"mactan, philippines",philippine air lines,345,manila - mactan,fokker f-27 friendship 100,pi-c501,10147,20.0,12,0.0,crashed after undershooting the runway. loss of control at low altitude. improper loading which placed the center of gravity in back of the center of gravity limits of the plane.
2108,03/04/1967,02:56,"monrovia, liberia",varig,837,rome - monrovia,mcdonnell douglas dc-8-33,pp-pea,45253/5,90.0,51,5.0,crashed on short of  the runway during approach. crew error. the failure of the pilot to arrest the fast descent at a low altitude upon which he had erroneously decided after coming in too high.
2109,03/05/1967,20:07,"near marseille, ohio",lake central airlines,527,colombus - toledo,convair cv-380,n73130,023,38.0,38,0.0,the aircraft crashed following the separation in flight of all four blades of the right propeller. no. 2 blade penetrated and destroyed the structural integrity of the fuselage. malfunction of the hydraulipitch control mechanism. uncontrollable overspeeding. propeller separation in flight. omission of the torque piston nitriding process during manufacture and failure of quality control to detect the omission.
2111,03/09/1967,11:54,"urbana, ohio",trans world airlines / private,553,pittsburgh - dayton,md douglas dc-9-15 / beechcraft baron-55,n1063t/n6127v,45777/80 /,26.0,26,0.0,"midair collision. twenty five killed on the dc-9, one on the beechcraft. failure of the dc-9 crew to see and avoid the beechcraft. the dc-9 was traveling at almost 300 mph at low altitude in airspace occupied by numerous small planes. the contributing factor to the accident was the excessive speed of the dc-9.  atc systems inadequate to separate controlled and uncontrolled traffic. after this accident, the faa imposed a maximum speed of 250 knots below 10,000 ft. mean sea level."
2115,03/13/1967,17:10,"off east london, south africa",south african airways,406,port elizabeth - east london,vickers viscount 818,zs-cva,317,25.0,25,0.0,crashed into the sea. most probably the captain suffered a heart attack and the first officer could not regain control of aircraft.
2118,03/30/1967,00:45,"new orleans, louisiana",delta air lines,9877,new orleans ap - new orleans ap,mcdonnell douglas dc-8-51,n802e,45409/19,6.0,6,13.0,crashed into hotel during training flight. improper supervision by the instructor and the improper use of flight and power controls by both instructor and the captain-trainee during a simulated two-engine out landing approach.
2126,04/25/1967,19:05,"off nantucket, massachusetts",military - u.s. air force,-,otis afb,ec-121h (super constellation),53-0549,4364,15.0,14,0.0,"shortly after taking off from otis afb, the aircraft experienced a fire in the no. 3 engine and attempted to return to the air base, but crashed in a fireball one mile south of nantucket."
2146,06/23/1967,13:47,"blossburg, pennsylvania",mohawk airlines,40,elmira - washington dc,bac one eleven 204af,n1116j,098,34.0,34,0.0,"the flight crashed after an in-flight fire destroyed the pitch control systems. incorrect installation of a valve caused hot air to ignite hydraulifluid. the fire resulted from engine bleed air flowing back through the malfunctioning non-return valve and an open air delivery valve, through the auxiliary power unit in a reverse direction, and exiting into the plenum chamber at temperatures sufficiently high to cause the acoustics linings to ignite."
2150,07/06/1967,18:43,"bacolod, philippines",philippine air lines,385,bacolod - mactan,fokker f-27 friendship 100,pi-c527,10285,21.0,21,0.0,crashed into a mountain in poor weather. pilot error. decision to fly vfr over rugged terrain in ifr conditions.
2152,07/19/1967,11:01,"near hendersonville, north carolina",piedmont airlines / private,22,ashville - roanoke,boeing b-727-22 / cessna 310,n68650/n3121s,18295/4 /,82.0,82,0.0,"midair collision. the b-727 was climbing away from asheville airport when it hit the cessna, about 8 miles from the airport at 6,000 feet.  seventy-nine on the b-727 and  3 on the cessna killed. deviation from ifr clearance by the cessna pilot. confusing transmission by the atc. lack of secondary surveillance radar. john t. mcnaughton, navy secretary designate killed along with his wife and son."
2158,09/05/1967,05:10,"near gander, newfoundland, canada",ceskoslovenske aerolinie,523,gander - havana,ilyushin il-18,ok-wai,187009705,69.0,37,0.0,"unable to maintain altitude after taking off, the aircraft crashed 4,000 feet past the runway and burned. cause unknown."
2162,10/12/1967,07:25,"off rhodes, greece",british european airways,284,athens - nicosia,de havilland comet 4b,g-arco,06449,66.0,66,0.0,while flying at fl 290 the aircraft was destroyed by a detonation of a bomb within the cabin.
2167,11/05/1967,10:35,"hong kong, china",cathay pacifiairways,033,hong kong - saigon,convair cv-880-22m-3,vr-hfx,22-00-37,127.0,1,0.0,"shortly before reaching v1, the nose gear tire blew causing severe vibration. the crew aborted the takeoff and overran the runway into the sea. loss of directional control developing from separation of the right nose wheel tread.  inability to stop within the normally adequate runway distance available due to use of differential braking, impaired performance and an increase in tail wind component and aircraft weight over those used in calculating the aircraft's acceleration /stoping performance."
2168,11/06/1967,18:41,"cincinnati, ohio",trans world airlines,159,cincinnati - los angeles,boeing b-707-131,n742tw,17669/43,36.0,1,0.0,"while on the takeoff roll a loud bang was heard as the aircraft passed a delta plane and the takeoff was aborted. the aircraft overran the runway and crashed and burned. the inability of the twa crew to abort successfully their takeoff at the speed attained prior to the attempted abort. the abort was understandably initiated because of the first officer's belief that his plane had collided with a delta aircraft stopped just off the runway. a contributing factor was the action of the delta crew in advising the tower that their plane was clear of the runway without carefully ascertaining the facts, and when in fact their aircraft was not a safe distance under the circumstances of another aircraft taking off on that runway."
2170,11/20/1967,20:57,"cincinnati international airport, covington/hebron, kentucky",trans world airlines,128,los angeles - cincinnati,convair cv-880-22-1,n821tw,22-00-27,82.0,70,0.0,the aircraft struck a tree short of the runway during an approach in snow. procedural errors by the crew during the approach in adverse weather. the visual approach conducted at night and in deteriorating weather conditions without adequate altimeter cross-reference. the approach was conducted using visual reference to partially lighted irregular terrain which may have been conducive to producing an illusionary sense of adequate terrain clearance.
2176,12/10/1967,15:25,"near madison, wisconsin",private,-,"cleveland, oh - madison wi",beechcraft 18h,n390r,ba-623,8.0,7,0.0,"the twin engine aircraft went into a spin and crashed into the icy waters of  lake monona in heavy fog and sank. the plane was three miles from landing at madison. cause undetermined. singer, otis redding, 26, killed, along with his vallet and  four members of his bar-kays band. trumpet player, ben cauley was the only survivor."
2181,12/25/1967,13:49,"chiang mai, thailand",thai airways,002,bangkok - chiang mai,douglas dc-3,hs-tdh,9189,31.0,4,0.0,"during poor weather and after a flyby, the pilot requested a runway 18 approach. the pilot decided to make a visual approach along the middle of 3 diverging roads, which was aligned with the runway. because of the fog, the pilot began his approach along the third road which extended to the royal thai air force fuel storage instead of runway 18. when the aircraft got close to the ground, the pilot realized that he was approaching the wrong road. he tried to initiate a go-around but the aircraft became unstable as he raised the nose slipped to the left and stalled the plane. the no.1 engine hit the ground first, 200 meters from the airport."
